IN|110001|DL|NEW DELHI
IN|110002|DL|DELHI
IN|110002|DL|NEW DELHI
IN|110002|DL|Central Delhi
IN|110002|DL|VIKRAM NAGAR
IN|110002|DL|CENTRAL
IN|110002|DL|Delhi NCR
IN|110002|DL|DELHI - DEL
IN|110003|DL|DELHI
IN|110003|DL|NEW DELHI
IN|110003|DL|Delhi NCR
IN|110003|DL|South Delhi
IN|110003|DL|TYAGRAJ NAGAR
IN|110004|DL|DELHI
IN|110004|DL|NEW DELHI
IN|110004|DL|Central Delhi
IN|110004|DL|PRESIDENT'S ESTATE
IN|110004|DL|Delhi NCR
IN|110005|DL|DELHI
IN|110005|DL|NEW DELHI
IN|110005|DL|Central Delhi
IN|110005|DL|PUSA ROAD
IN|110005|DL|CENTRAL
IN|110005|DL|Delhi NCR
IN|110005|DL|SARAI ROHILLA RLY STATION
IN|110006|DL|DELHI
IN|110006|DL|NEW DELHI
IN|110006|DL|North West Delhi
IN|110006|DL|TOWN HALL
IN|110006|DL|NORTH
IN|110006|DL|Delhi NCR
IN|110006|DL|DELHI - DEL
IN|110007|DL|DELHI
IN|110007|DL|NEW DELHI
IN|110007|DL|North Delhi
IN|110007|DL|VIVEKA NAND PURI.
IN|110007|DL|NORTH
IN|110007|DL|DELHI NCR
IN|110008|DL|DELHI
IN|110008|DL|NEW DELHI
IN|110008|DL|Central Delhi
IN|110008|DL|WEST PATEL NAGAR
IN|110008|DL|WEST
IN|110008|DL|DELHI NCR
IN|110009|DL|DELHI
IN|110009|DL|NEW DELHI
IN|110009|DL|North West Delhi
IN|110009|DL|KALYAN VIHAR
IN|110009|DL|NORTH
IN|110010|DL|DELHI
IN|110010|DL|NEW DELHI
IN|110010|DL|South West Delhi
IN|110010|DL|ERI ENCL.
IN|110011|DL|DELHI
IN|110011|DL|NEW DELHI
IN|110011|DL|Central Delhi
IN|110011|DL|TEEN MOORTI MARG
IN|110011|DL|Delhi NCR
IN|110011|DL|DELHI - DEL
IN|110012|DL|DELHI
IN|110012|DL|NEW DELHI
IN|110012|DL|Central Delhi
IN|110012|DL|TODAPUR
IN|110012|DL|WEST
IN|110012|DL|DELHI NCR
IN|110013|DL|DELHI
IN|110013|DL|NEW DELHI
IN|110013|DL|South Delhi
IN|110013|DL|NIZAMUDDIN EAST & WEST
